405331;72АМ;0
408751;64ПЛ;0
408753;64АМ;0
408754;64Б;0
408755;64Ч;0
661770;72АБ;0
661771;72Б;0
661772;72ПЛ;0
661773;72Ч;0
665886;64Н;0
665887;64АБ;0
665916;72Н;0
405334;72АМ;0
408769;64ПЛ;0
408770;64АМ;0
408771;64Б;0
408772;64Ч;0
661748;72ПЛ;0
661749;72Ч;0
665893;64Н;0
665894;64АБ;0
665917;72Н;0
665918;72Б;0
665919;72АБ;0
405670;78АМ;0
408858;68ПЛ;0
408859;68АМ;0
408860;68Б;0
408861;68Ч;0
661792;78АБ;0
661793;78Б;0
661794;78Ч;0
665946;68Н;0
665958;78Н;0
408880;68ПЛ;0
408882;68АМ;0
408883;68Б;0
408884;68Ч;0
665951;68Н;0
758611;84Н;0
405625;44ПЛ;0
405651;406АМ;0
661516;44Н;0
661666;84М;0
661667;604ПЛ;0
2155916;404ПЛ;0
2155917;404АМ;0
663958;68Н;0
408845;68ПЛ;0
408846;68АМ;0
408847;68Б;0
408848;68Ч;0
661897;64НС;0
665694;80АМ;0
665967;80Н;0
494903;80АЛ;0
661738;68АМ;0
490001;80ПЛ;0
661739;412АМ;0
661740;68Н;0
941604;80ЧМБ;0
941602;80ЧМК;0
2039764;402Н;0
661741;68ПЛ;0
661742;68Ч;0
661805;80АБ;0
661806;80Б;0
661807;80Ч;0
665732;412А;0
661903;80Н;0
408969;60ПЛ;0
408970;60АМ;0
408971;410Н;0
408972;60Ч;0
665989;58Н;0
665990;60АБ;0
2131831;410ПЛ;0
661722;60АМ;0
661724;60Н;0
661723;60Б;0
661725;60ПЛ;0
2031780;58АМ;0
661720;60АБ;0
661726;60Ч;0
408756;64ПЛ;0
408757;64АМ;0
408758;64Б;0
408759;64Ч;0
665888;64Н;0
665889;64АБ;0
405626;44ПЛ;0
405652;SUP606А;0
661517;44Н;0
661668;95ПЛ;0
661669;407АМ;0
405675;80АМ;0
408857;68Ч;0
408853;68ПЛ;0
408854;68АМ;0
408856;68Б;0
661815;80АБ;0
661816;80Б;0
661817;80Ч;0
665945;68Н;0
665962;80Н;0
766825;84Н;0
672892;S017553;
903584;84АМ;АМ
40150;606А;А
40301;606Н;Н
2039765;404АМ;АМ
2041416;84ПЛ;Пл
405630;44ПЛ;ПЛ
405657;411ЧМ;Чм
661521;44Н;Н
661679;99АМ;Ам
661680;412Н;Н
2131832;606ЧМ;ЧМ
661899;64Н;Н
408747;64ПЛ;Пл
